carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
0.5, IF, D, Ideal,5.1,5.15,3.2,61.650000000000006,57.6,3000.0
0.7, vvs2, E, premium,5.7,5.694472528154446,3.52,62.0,59.0,4500.0
0.1824725200697621, Si2, h, Good,4.3,4.31,2.6735904005872295,62.3,56.0,700.0
1.2, if, d, ideal,6.806717133839215,6.82,4.2,61.7,58.0,10000.0
0.9, I1, J, Fair,6.0,5.992341047512541,3.7,61.7,57.4,2400.0
0.8525418720644056, Si1, G, very Good,5.9,5.92,3.63,62.2,57.0,4200.0
0.5, if, D, Ideal,5.1,5.123665329952526,3.2,61.650000000000006,57.0,3100.0
0.4, Vvs1, f, good,4.8,4.79,2.95,62.31654135338345,56.91017964071856,1500.0
0.1864302735005614, SI2, I, good,4.3,4.32,2.679572429331454,62.3,57.0,
1.0, vvs1, F, Ideal,6.4,6.426893834094743,4.0,62.06,58.0,7500.0
0.5, Si1, Colorless, premium,5.2077983700673105,5.21,3.21,61.650000000000006,58.0,
0.4, vvs2, G, Very good,4.9,4.88,3.025323482085438,61.650000000000006,56.0,1400.0
0.7306147951893363, si2, j, Fair,5.7,5.71,3.54,62.279999999999994,54.0,2000.0
1.1, vvs1, e, premium,6.6,6.600543006485868,4.08,62.2,57.0,9200.0
0.55, SI2, H, good,5.3,5.29,3.277758289316914,62.0,57.4,1800.0
0.24714560521683593, vvs2, I, Good,4.4,4.39,2.69,61.650000000000006,57.0,
0.5, si1, g, very good,5.2,5.185560075633817,3.2,62.120000000000005,56.0,2300.0
1.0, IF, d, ideal,6.5,6.49,4.017116624778673,61.7,58.0,
0.6, si2, h, Good,5.5,5.52,3.418930764793211,62.2,57.0,2200.0
0.7, i1, J, fair,5.784524663610592,5.79,3.57,61.650000000000006,57.6,2100.0
0.8147354541977485, VVS1, f, Ideal,6.1,6.15,3.9,61.8,57.0,6000.0
1.3, si1, G, premium,6.9,6.923341366358235,4.3,62.849999999999994,60.0,10500.0
1.4, IF, D, good,7.1,7.12,4.404741878742223,62.4,59.0,11000.0
0.2793818585932084, VVS2, e, Good,4.6,4.58,2.85,62.120000000000005,56.0,800.0
1.6, i1, I, fair,7.3,7.28,4.5,62.279999999999994,54.0,3400.0
0.2, Si1, H, very Good,3.9,3.89,2.41,62.1,56.0,500.0
0.35, if, G, Ideal,4.5,4.52,2.8027988185750794,61.9,56.0,1300.0
0.30289981315692893, VVS2, g, good,4.6,4.583590576789058,2.83,62.2,57.0,1600.0
0.55, I1, j, premium,5.4,5.42,3.35,62.1,56.0,2500.0
1.1309885799123642, vvs1, D, Ideal,6.7,6.71,4.15,62.06,58.0,7700.0
0.65, Si2, colorless, very good,5.6,5.601415481830315,3.47,62.3,58.0,2900.0
1.5, vvs2, F, good,7.2,7.18,4.4424269583871405,62.7,59.0,10800.0
0.9, si2, h, Fair,6.1,6.12,3.78,62.4,58.0,2600.0
1.2077423480252079, VVS1, e, premium,6.9,6.904643985972531,4.27,62.2,57.0,9300.0
0.45, SI2, I, good,4.9,4.91,3.043269568318109,62.1,56.0,1700.0
0.6, vvs2, G, Good,5.5,5.49,3.4009846785605404,62.06,58.0,2800.0
0.5664744922082772, si1, f, very good,5.3,5.31,3.3,62.0,57.0,2700.0
0.95, IF, d, ideal,6.3,6.3026744871277725,3.9,62.6,58.0,9400.0
1.05, si2, j, Good,6.6,6.58,4.072747790656262,62.7,58.4,8500.0
0.8120252112781987, i1, G, fair,5.9,5.899284001188411,3.65,61.9,55.0,2200.0
0.45, si2, H, ideal,4.8,4.82,3.01,62.1,56.0,1500.0
0.9292241009737743, IF, f, Premium,6.2,6.203384980675073,3.84,61.9,58.0,5900.0
0.85, VVS1, I, good,5.8,5.82,3.6037703486586516,62.2,55.0,4800.0
0.95, vvs2, D, Good,6.3,6.31,3.91,62.4,58.0,7300.0
0.8527076498652901, si1, E, fair,6.0,6.01,3.7210147091580534,62.279999999999994,54.0,2700.0
0.35, IF, g, Very Good,4.6,4.596055497046194,2.85,62.0,57.0,1400.0
0.55, VVS2, j, Ideal,5.4,5.402836468924918,3.35,62.3,56.0,2600.0
0.3813549900090436, I1, d, good,4.8,4.79,2.96,61.8,56.8,1200.0
1.05, vvs1, F, Premium,6.7,6.69,4.13,62.06,58.0,9500.0
0.75, Si2, G, good,5.7,5.71,3.5361751252926146,62.5,57.0,3800.0
0.65, si1, Colorless, Very Good,5.6,5.58,3.48,62.6,58.0,3300.0
1.4, vvs2, H, good,7.1,7.103222998877928,4.39,62.7,59.0,11200.0
0.3, i1, I, Fair,4.4,4.41,2.735203595209043,62.1,55.0,600.0
0.5, VVS1, E, premium,5.2,5.22,3.234091180927772,62.06,58.0,2900.0
1.3, SI2, f, Good,6.9,6.898411525843963,4.26,62.3,57.0,9900.0
1.1720236556576284, vvs2, D, good,6.8,6.81,4.21,62.28000000000001,59.0,8100.0
0.4, si1, j, Very Good,4.8,4.78,2.96,62.2,56.2,1400.0
1.15, IF, g, Ideal,6.5,6.501253500033169,4.02,62.0,58.0,9800.0
0.8128378432816485, i1, H, good,5.9,5.88,3.63,62.4,58.0,2100.0
0.55, si2, I, Fair,5.3,5.303546962472219,3.29,62.1,54.0,1700.0
0.6, VVS2, d, Premium,5.6,5.58,3.48,62.2,57.0,3700.0
0.8960909991664141, si1, F, very good,6.1,6.12,3.7886099325240905,62.1,59.0,5000.0
0.35, i1, G, Ideal,4.5,4.52,2.79,62.0,57.4,900.0
0.75, VVS1, h, good,5.8,5.81,3.5977883199144274,62.3,56.0,4600.0
0.815815839599515, si2, E, Fair,5.9,5.893051541059843,3.64,62.2,54.0,2500.0
1.05, IF, I, Premium,6.6,6.59,4.09,62.06,58.0,9600.0
0.4, VVS2, j, good,4.7,4.69,2.91,62.1,56.0,1800.0
0.55, I1, G, very good,5.3,5.297314502343651,3.28,62.4,57.0,2300.0
1.1521716412662504, vvs1, H, Ideal,6.8,6.79,4.21,62.2,56.2,7900.0
0.7, Si2, d, good,5.7,5.69,3.53,62.5,56.0,4000.0
0.9, si1, colorless, Premium,6.2,6.22,3.8502231271459038,62.3,59.0,6600.0
0.5, vvs2, F, good,5.2,5.198024995890953,3.22,62.6,58.0,3100.0
0.45, i1, I, fair,4.8,4.81,2.98,62.279999999999994,54.0,1100.0
1.2, VVS1, e, Premium,6.8,6.799122019391265,4.2,62.7,58.0,10200.0
